                                              TABLE_NAME                    COLUMN_NAME
512                                     PedidoClienteXml                   RazonSocial2
513                                   TemporalNomDPExcel            RazonSocialEmpleado
514                                    RespuestasFaultVF                    TipoErrorVF
515                         IOF_SocOperacionesVinculadas                    RazonSocial
516                         IOF_SocOperacionesVinculadas            RazonSocialEmpleado
517                                 TraspasoNominaErrTab                    CodErrorNom
518                            Tmp_Imp_DatosEstadisticos                 RazonSocialImp
519                                    SociedadDominante            RazonSocialEmpleado
520                          VIS_NOM_AEM_ContadorEmplRec                    RazonSocial
521                               PORTAL_EnvSolFormacion                CodigoAccionFor
522                               PORTAL_EnvSolFormacion                 CodigoEmpleado
523                               PORTAL_EnvSolFormacion                  CodigoEmpresa
524                               PORTAL_EnvSolFormacion                      FechaAlta
525                               PORTAL_EnvSolFormacion                  PE_Comentario
526                               PORTAL_EnvSolFormacion                    PE_IdEnvio2
527                                     lsysTraceLWG2ERP                sysRecordsError
528                            DatosFacturaDestinatarios                    RazonSocial
529                              VIS_NOM_AEM_TrabFijTemp            RazonSocialEmpleado
530                                     ResumenProveedor                    RazonSocial
531                                     ResumenProveedor                   RazonSocial2
532                                          TmpPayments                    RazonSocial
533                                    Vis_S100_Terceros                    Razonsocial
534                                 VIS_IOF_InfRentas184            RazonSocialEmpleado
535                               NOM_Reformateo345_2022                         ClaveC
536                               NOM_Reformateo345_2022                         ClaveD
537                               NOM_Reformateo345_2022                  CodigoEmpresa
