                                             TABLE_NAME            COLUMN_NAME
334                  Vis_LcVw_CabeceraPedidoCliente_CID            RazonSocial
335                  Vis_LcVw_CabeceraPedidoCliente_CID           RazonSocial2
336                               CabeceraPedidoCliente            RazonSocial
337                               CabeceraPedidoCliente           RazonSocial2
338                               GFP_TmpListaServicios            RazonSocial
339                              TmpIME_AEL_RetFlexible    RazonSocialEmpleado
340                                    TemporalNOMDPCab    RazonSocialEmpleado
341                                    pwb_LlamadaVenta            RazonSocial
342               TemporalNomHistoricoBasesIRPFEmpleCab    RazonSocialEmpleado
343                               HistoricoAnexoHorasTP    RazonSocialEmpleado
344                              TmpIME_LineasDocumento               Unidades
345                                   GTM_ServicioOrden               Unidades
346                                   Clientes_02012025            RazonSocial
347                                   Clientes_02012025           RazonSocial2
348                            TmpGDPR_Plantillas_Datos            RazonSocial
349                            TmpGDPR_Plantillas_Datos       RazonSocialFirma
350                            TmpGDPR_Plantillas_Datos     RazonSocialGeneral
351                                pwb_OportunidadVenta            RazonSocial
352                       Vis_LcVw_ClientesPorComercial            RazonSocial
353                            eFacturasComprasCabecera            RazonSocial
354                            eFacturasComprasCabecera        RazonSocialDest
355                            eFacturasComprasCabecera   RazonSocialFactoring
356                 TemporalNomHistorialITEntradaRapida    RazonSocialEmpleado
357                                     IOF_Cabecera190            RazonSocial
358                       CabeceraAlbaranCliente_041224            RazonSocial
359                       CabeceraAlbaranCliente_041224      RazonSocialEnvios
360                       CabeceraAlbaranCliente_041224           RazonSocial2
361                       CabeceraAlbaranCliente_041224     RazonSocial2Envios
362                        Vis_AEL_DiarioFactxComercial            RazonSocial
363                            VIS_AEAT3_ResumenCliente            RazonSocial
364                              GFP_TmpContratoCliente            RazonSocial
365                                     Proveedores_Bak            RazonSocial
366                                     Proveedores_Bak           RazonSocial2
367                              IOF_TmpIRNRAcumulacion    RazonSocialEmpleado
368                              Vis_RHN_AEM_Antiguedad    RazonSocialEmpleado
369                          TmpIME_ImpQuitancesCat_NOM    RazonSocialEmpleado
370                            Vis_GEN_LisFichaEmpleado            RazonSocial
371                            Vis_GEN_LisFichaEmpleado           RazonSocial2
372                      HistoricoEmpleadoDesempCertif2       DescripcionError
373                                 MovimientoStock_Bak               Unidades
374                                   Vis_EST_InfCPpend            RazonSocial
375                                  CE_RegistroCompras               Unidades
376                                 DistribucionMensual               Unidades
377                         LineasAlbaranCliente_290524               Unidades
378                     Vis_LcVw_EstadisClienteArticulo            RazonSocial
