CodigoArticulo;StockActual;CodigoAlmacen;PrecioMedio;FechaUltimaEntrada;FechaUltimaSalida
UL10612604;5273.8600000000;001;0.0592000000;;2025-12-29 00:00:00
UL10612605;2041.6300000000;001;0.0575000000;;2025-12-18 00:00:00
UL10612606;2549.3100000000;001;0.0577000000;;2025-12-29 00:00:00
UL10612607;1625.8000000000;001;0.0578000000;;
UL10612608;8961.0200000000;001;0.0760000000;;
UL10612609;1046.2850000000;001;0.0575000000;;2025-10-24 00:00:00
UL10612610;2132.8950000000;001;0.0753883164;;2025-12-29 00:00:00
UL10612801;11652.1000000000;001;0.0667275223;2025-01-16 00:00:00;2025-10-27 00:00:00
UL10612802;12747.1150000000;001;0.0654446870;2025-01-16 00:00:00;2025-12-29 00:00:00
UL10612803;13352.0030000000;001;0.0642907621;2025-01-16 00:00:00;2025-10-27 00:00:00
UL10612804;11288.2700000000;001;0.0655443918;2025-01-24 00:00:00;2025-12-12 00:00:00
UL10612805;13623.9330000000;001;0.0664390445;2025-01-17 00:00:00;2025-12-29 00:00:00
UL10612806;12462.4500000000;001;0.0662119729;2025-01-16 00:00:00;2025-12-29 00:00:00
UL10612807;15274.1200000000;001;0.0636291251;2025-01-17 00:00:00;2025-10-29 00:00:00
UL10612808;13797.9000000000;001;0.0641061519;2025-01-17 00:00:00;
UL10612809;12494.1030000000;001;0.0667692525;2025-01-16 00:00:00;2025-12-29 00:00:00
UL10612810;10974.1920000000;001;0.0664973327;;2025-12-29 00:00:00
UL10612815;5631.1000000000;001;0.0759473147;;
UL10613002;90.4000000000;001;0.2730000000;;2025-10-14 00:00:00
UL10613005;84.0000000000;001;0.2730000000;;2025-10-14 00:00:00
UL10613006;87.2000000000;001;0.2730000000;;2025-10-14 00:00:00
UL10613010;74.4000000000;001;0.2730000000;;2025-10-14 00:00:00
UL110281802;0.0400000000;001;0.0100000000;;
UL110281810;0.7400000000;001;0.0100000000;;
UL110282202;0.0100000000;001;0.0100000000;;
UL110282210;0.0100000000;001;0.0100000000;;
UL110282215;0.4000000000;001;0.1168327974;;
UL110282602;0.2670000000;001;0.0100000000;;
UL110282610;0.1700000000;001;0.0100000000;;
UL110282802;0.4000000000;001;0.0100000000;;
UL110282810;0.2000000000;001;0.0100000000;;
UL15691402;711.3000000000;001;0.4600000000;2025-11-11 00:00:00;2025-12-29 00:00:00
ULCB-10;800.0000000000;001;0.0330000000;;
ULCB-19.1;805.0000000000;001;0.0424000000;;
ULCB-8;4.0000000000;001;0.0297000000;;
ULCC-19;10.0000000000;001;0.0346000000;;
ULCC-8;15.0000000000;001;0.0277000000;;
ULCK-6.4;931.0000000000;001;0.1374000000;;
